"adjective","prop_item_correct","gbooks_freq"
"denigrating",0.674418604651163,-0.254
"denouncing",0.717391304347826,-0.207
"dense",0.878048780487805,0.171
"dependable",0.916666666666667,-0.215
"dependent",0.966292134831461,1.209
"depraved",0.650602409638554,-0.204
"depressed",0.92,-0.245
"depressive",0.906976744186046,-0.249
"derisive",0.538461538461538,-0.241
"derogatory",0.506329113924051,-0.217
"designful",0.652777777777778,NA
"desirable",0.965909090909091,-0.253
"despairing",0.954022988505747,-0.18
"despondent",0.670454545454545,-0.229
"destructive",0.921052631578947,-0.249
"desultory",0.170454545454545,-0.224
"detached",0.494117647058824,0.012
"determined",0.648648648648649,-0.23
"devil-may-care",0.536842105263158,NA
"devilish",0.929411764705882,-0.209
"devious",0.802083333333333,-0.221
"devoted",0.948051948051948,-0.254
"devout",0.921348314606742,-0.095
"dewy",0.523255813953488,-0.228
"dictatorial",0.674418604651163,-0.228
"didactic",0.384615384615385,-0.189
"difficult",0.80952380952381,4.379
"diffident",0.297619047619048,-0.242
"dignified",0.767123287671233,-0.05
"digressive",0.602564102564103,NA
"diligent",0.633928571428571,-0.146
"dim",0.925,0.17
"diminishing",0.505882352941176,-0.106
"diplomatic",0.755813953488372,0.105
"direct",0.51219512195122,-0.25
"dirty",0.465753424657534,0.295
"disabled",0.965116279069767,0.055
"disagreeable",0.75609756097561,-0.044
"disappointed",0.873563218390805,0.221
"disapproving",0.833333333333333,-0.234
"disarming",0.544554455445545,-0.238
"discerning",0.540540540540541,-0.19
"disciplined",0.918604651162791,-0.11
"disclosing",0.835443037974684,-0.2
"discontented",0.914634146341463,-0.191
"discourageable",0.741573033707865,NA
"discouraged",0.975308641975309,-0.052
"discourteous",0.726190476190476,-0.253
"discreet",0.714285714285714,-0.152
"discriminating",0.436619718309859,-0.184
"discriminative",0.632911392405063,-0.246
"discursive",0.2,-0.251
"disdainful",0.702702702702703,-0.233
"disengaged",0.837209302325581,-0.21
"disgruntled",0.896551724137931,-0.226
"disguiseless",0.6,NA
"disgusted",0.606060606060606,-0.136
"disgusting",0.977011494252874,-0.157
"disheveled",0.797619047619048,-0.238
"dishonest",0.963855421686747,-0.165
"disillusioned",0.74025974025974,-0.218
"disingenuous",0.785714285714286,-0.242
